English,Sanskrit,Pali,Hindi,Urdu,Nepali,Bhojpuri,Punjabi,Saraiki,Sindhi,Gujarati,Marathi,Konkani,Assamese,Bengali,Odia,Kashmiri,Sinhalese,Dhivehi,Romani
I ,aham,aham,mai,mai,ma,ham,mai,mai,au,hu,mi,hav,moi,ami,mu,bu,mama,aharen,me
you ,tvam,tvam,tu,tu,ta,te,tu,tu,tu,tu,tu,tu,toi,tumi,tu,cu,oya,kale,tu
he,sa,so,yah,yeh,u,uh,iha,o,hi,te,ha,vho,xi,se,se,huh,eya,ena,ov
we ,vayam,amhe,ham,ham,hami,hamni,asi,assa,asi,ame,amhi,amhi,ami,amra,ame,as',api,aharemen,amen
you ,yuyam,tumhe,tum,tum,timiharu,tuhni,tusi,tussa,tavhi,tame,tumhi,tumhi,tohot,tomra,tumemane,toh',oyala,kalemen,tumen
they ,te,te,ye,yeh,yiniharu,uhni,iha,o,hi,teo,he,tanhi,xihot,tara,semane,hum,eyala,e mihun,on
this,idam,ayam,yah,yeh,yo,ih,iha,e,hi,a,ha,vho,ei,e,eha,yi,me,mi,kado
that,tat,asu,vah,voh,tyo,uh,uha,o,hu,pelu,to,to,xei,o,taha,ti,e,'thiey,kodo
here,atra,idha,yaha,yaha,yaha,iha,itthe,itthe,hite,ahi,ithe,hanga,iat,ekhane,ethare,,mehe,mita,kathe
there,tatra,tattha,vaha,vaha,tyaha,uha,utthe,utthe,hute,tya,tithe,thai,tat,okhane,sethare,,ehe,mita,kothe
who,ka,ka,kaun,kaun,ko,kavan,kaun,kaun,ker,kon,kon,kon,kun,ke,kie,,kawuru,kaku,kon
what,kim,ka,kya,kya,ke,ka,ki,ki se,cha,su,kay,kide,ki,ki,kono,,monawa,koneccek,so
where,kutra,kattha,kaha,kaha,kaha,kaha,kitthe,kittha,kithe,kya,kuthe,khai,kot,kothay,keuthi,,kohe,kontaku,kaj
when,kada,karahi,kab,kab,kahile,kab,kado,kadda,kaha,kyare,kevha,kedna,ketia,kokhon,kebe,,kawada,koniraku,kana
how,katham,katham,kaisa,kaisa,kasari,kaise,kive,kive,kia,kevi rite,kase,kase,kene,kemon,kemiti,,kohoma,dekkun,sar
not,na,na,nahi,nahi,hoina,na,nahi,na,na,na,nahi,nu,nai,na,nuhe,,naehae,nun,na
all,sarva,sabba,sab,sab,sabai,kul,sara,sare,sabhu,badhu,sagle,sagle,atai,sbo,sobu,prth i,haema,huriha,sa
many,bahu,bahu,bahut,bahut,dherai,j'aade,kai,bahu,ghana,bahu,puskal,khub,bohut,onek,oneko,,godak,baivaru,but
some,kincid,eke,kuch,kuch,kehi,thori,kujh,kujh,kujhi,amuk,kahi,thode,olop,kichu,kichi,,aetaem,baek,unyi
few,alpa,appa,thora,thora,thorai,kam,thore,thora,thora,thodu,thode,macce,olop,kom,olpo,,tikak,madun,cerra
other,anya,anna,dusra,dusra,arko,dusar,duja,dujjha,biyo,biju,itar,dusre,an,onno,onyo,,aetaem,anet,aver
one,eka,eka,ek,ek,ek,ek,ikka,hik,hiku,eka,ek,ek,ek,ek,eko,akh,eka,ekek,jekh
two,dva,dve,do,do,dui,du,do,du,ba,be,don,don,dui,dui,dui,zu,deka,des,duj
three,tri,tayo,tin,tin,tin,tin,tinn,trae,te,tran,tin,tin,tini,tin,tini,tre,tuna,tinek,trin
four,catur,catur,car,car,car,car,car,car,car,car,car,car,sari,car,cari,cor,hatara,hatarek,star
five,pancan,panca,pac,panc,pac,pac,panj,paj,panja,pac,pac,pac,pas,pac,panco,panch,paha,fahek,panZ
big,mahat,mahant,bara,bara,thulo,bar,vadda,vadda,vao,motu,mothe,vhod,danor,bor,boro,bod,loku,bodu,baro
long,dirgha,digha,lamba,lamba,lamo,lam,lamma,lamba,digho,labu,lamba,lamba,dighol,lomba,lomba,zith,diga,digu,lungo
wide,uru,uru,caura,caura,cauda,caura,caura,,kusado,paholu,runda,runda,bohol,coora,couda,khol,pulul,fula,buxlo
thick,ghana,bahala,garha,garha,moto,garha,mota,mota,thulho,jadu,jad,dat,dath,mota,mota,mot,gana,bo,thulo
heavy,guru,garu,bhari,bhari,gahrungo,bhari,bhari,bara,garo,bhare,jad,jad,bhari,bhari,bhari,gob,bara,baru,pharo
small,alpa,khudda,chota,chota,sano,chot,chota,chota,nandho,nanu,lahan,dhakle,xoru,chot,choto,lokut,pumci,kuda,tikno
short,hrasva,,chota,chota,choto,chothan,chota,chota,nandho,tuku,butke,giddo,suti,bete,choto,cot,keti,kuru,skurto
narrow,amhu,,tang,tang,saghuro,patar,bhira,sora,tang,sakdu,nirunda,yedo,thek,cipa,onoosaria,,patuyi,hani,tang
thin,tanu,,patla,patla,patlo,patar,patla,patla,sanho,patalu,patal,barik,patol,patola,sorua,ton,sihin,tuni,sano
woman,stri,itthi,aurat,aurat,aimai,mehraru,aurat,ran,aurat,baidi,bai,bail,maiki manuh,mohila,nari,zanan,gaeni,anhen miha,Zuvli
man ,purusa,purisa,admi,admi,purus,marad,adami,jana,manhu,manas,purus,didlo,mota manuh,purus,puruso,mrud,pirimiya,firihen miha,murs
man ,manusya,jana,insan,insan,manche,insan,inasan,banda,manhu,manas,manus,manis,manuh,manus,manobo,insan,miniha,miha,manus
child,bala,balaka,bacca,bacca,bacca,bacca,bacca,bal,bari,balka,mul,bhurgo,lora-suali,bacca,sisu,sur,lamaya,kujja,chavo
wife,patni,dara,patni,bivi,svasni,mehraru,vahuti,zal,zal,patni,bayko,bail,ghoini,stri,potni,zananu,nona,ambi,rromni
husband,pati,pati,pati,sauhar,logne,marad,khavand,pae,mars,pati,navra,ghov,giri,sami,poti,khandar,mahattaya,firi,rrom
mother,matr,matar,mata,ma,ama,matari,ma,ma,mau,ma,ai,avai,ma,ma,ma,mai,mawa,manma,daj
father,pitr,pitar,pita,abbu,baba,pitar,pio,piu,piu,bap,vadil,bapui,deuta,baba,pita,mol,piya,bappa,dad
animal,pasu,mig,janvar,janvar,jantu,janavar,janvar,janvar,janvaru,prani,prani,janavar,ziw-zontu,jontu,posu,zuvzac,sata,janavaru,pedo
fish,matsya,maccha,machli,machli,macha,machri,macchi,macchi,machi,machli,masa,masoli,mas,mach,macho,gad,maluwa,mas,macho
bird,vi,pakkhin,ciriya,ciriya,cara,cirain,panchi,pakkhi,pakhi,pankhi,paksi,paksi,sorai,pakhi,corhei,parindu,kurulla,duni,ciriklo
dog,svan,kukkura,kutta,kutta,kukur,kukur,kutta,kutta,kuto,kutro,kutra,kutro,kukur,kukur,kukuro,hun,balla,balu,Zukel
louse,yuka,uka,ju,ju,jumra,likh,ju,ju,jua,ju,u,uv,ukoni,ukun,ukuni,,ukuna,ukunu,Zuv
snake,sarpa,sappa,sap,sanp,sarpa,saraph,sappa,nang,nangu,sap,sap,sorop,xap,sap,sapo,saruph,ukuna,nannugati,sap
worm,krmi,kimi,kira,kira,kira,kira,kira,kira,kiro,kido,ali,kido,pelu,krimi,krumi,kyom,krimiyawa,fani,kirmo
tree,vrksa,rukkha,per,daraxt,rukh,pher,rukkha,draxt,vanu,jhad,jhad,jhad,gos,gach,gocho,kul,gasa,gas,rukh
forest,vana,vana,jangal,jangal,van,jangal,jangal,jangal,jhangal,jangal,jangal,ran,habi,bon,jongolo,van,wana,valutere,ves
stick,danda,latthi,danda,danda,latthi,danda,soti,danda,lathi,lakdi,kathi,dando,bari,lathi,lathi,lor,kotuwa,dandigandu,kopal
fruit,phala,phala,phal,phal,phal,phal,phal,,meva,phal,phal,phal,phol,phol,pholo,phal,palaturu,mevaelun,frukto
seed,bija,bija,bij,bij,biu,biya,bij,bij,biju,bij,bi,bi,guti,bici,monji,,bija,osu,sumburo
leaf,pattra,patti,patta,patta,pat,pat,pata,patr,panu,paddu,pan,pan,pat,pata,potro,pan,kole,fat,patrin
root,mula,mula,jar,jar,jara,jar,jarh,par,para,mul,mul,mul,xipa,sikor,cero,,mula,mu,rikita
bark ,tvac,taca,chal,chal,,chal,chilla,chill,choo,chal,,,bakoli,chal,bokolo,,potu,tosi,korca
flower,puspa,puppha,phul,phul,phul,phul,phulla,phul,gulu,phul,phul,phul,phul,phul,phulo,,mal,ma,luludi
grass,trna,tina,ghas,ghas,ghas,ghas,ghah,ghah,gahu,ghas,gavat,tan,ghah,ghas,ghaso,,tanakola,vina,char
rope,rajju,rajju,rassi,rassi,dori,rassi,rassi,rassa,raso,dordu,dori,dori,rosi,dori,rosi,,kambaya,ronu,selo
skin,carman,camma,camri,jild,chala,camri,camri,khal,khala,camdi,tvaca,kat,sal,camra,comora,,ham,han,morthi
